,id,loan_status,loan_status_prob
0,924308,0,0.332156
1,924309,1,0.6877612
2,924310,1,0.8033407
3,924311,0,0.34404644
4,924312,1,0.52320546
5,924313,1,0.86015904
6,924314,1,0.54903865
7,924315,1,0.6244216
8,924316,0,0.4581258
9,924317,0,0.21653096
10,924318,0,0.299863
11,924319,1,0.77239764
12,924320,1,0.67598414
13,924321,0,0.21653096
14,924322,0,0.38595974
15,924323,1,0.76702625
16,924324,1,0.52320546
17,924325,1,0.65861654
18,924326,1,0.58155614
19,924327,1,0.59116024
20,924328,1,0.6235752
21,924329,1,0.50993675
22,924330,1,0.92348987
23,924331,0,0.43494818
24,924332,1,0.58473426
25,924333,1,0.7121829
26,924334,1,0.76702625
27,924335,1,0.52320546
28,924336,1,0.58155614
29,924337,0,0.21653096
30,924338,1,0.64397484
31,924339,0,0.38595974
32,924340,1,0.801267
33,924341,0,0.38595974
34,924342,0,0.16772678
35,924343,1,0.6317012
36,924344,1,0.5943163
37,924345,1,0.8831207
38,924346,1,0.68124765
39,924347,0,0.299863
40,924348,1,0.59116024
41,924349,0,0.38595974
42,924350,0,0.37650958
43,924351,1,0.8512663
44,924352,0,0.2526125
45,924353,1,0.92348987
46,924354,0,0.38595974
47,"924355,35000,35000,35000, 60 months,27.49,1079.02,F,""RN, BSN "",10+ years,MORTGAGE,89000,Source Verified,42644,home_improvement,NC,9.91,0,36739,1,11,0,3251,33,19,0,18422.46535;",0,0.018379249
48,924356,0,0.3271827
49,924357,0,0.299863
50,924358,0,0.1679176
51,924359,1,0.57334834
52,924360,0,0.46103355
53,924361,1,0.7693544
54,924362,1,0.52320546
55,924363,1,0.78186333
56,924364,0,0.30261496
57,924365,0,0.38595974
58,924366,0,0.21653096
59,924367,1,0.61743265
60,924368,1,0.578601
61,924369,1,0.81315297
62,924370,1,0.68896717
63,924371,0,0.2526125
64,924372,1,0.7121829
65,924373,1,0.6250989
66,924374,1,0.52320546
67,924375,1,0.5878902
68,924376,0,0.1679176
69,924377,1,0.7094956
70,924378,0,0.16975223
71,924379,1,0.92931217
72,924380,1,0.94358855
73,924381,1,0.912665
74,924382,0,0.46064875
75,924383,1,0.6244216
76,924384,0,0.4581258
77,924385,1,0.75928116
78,924386,0,0.21653096
79,924387,1,0.5264659
80,924388,0,0.299863
81,924389,0,0.38595974
82,924390,1,0.57541
83,924391,1,0.78186333
84,924392,1,0.83408684
85,924393,0,0.34404644
86,924394,0,0.3274835
87,924395,0,0.38595974
88,924396,0,0.30261496
89,924397,1,0.78186333
90,924398,0,0.21629931
91,924399,1,0.52320546
92,924400,1,0.69533956
93,924401,1,0.9470874
94,924402,0,0.30261496
95,924403,0,0.38595974
96,924404,1,0.77009106
97,924405,0,0.16975223
98,924406,1,0.6329459
99,924407,1,0.6718678
100,924408,0,0.299863
101,924409,0,0.299863
102,924410,1,0.76702625
103,924411,0,0.34404644
104,924412,0,0.25287047
105,924413,1,0.52320546
106,924414,1,0.6132209
107,924415,1,0.8512663
108,924416,1,0.62990326
109,924417,0,0.39662
110,924418,1,0.67367816
111,924419,0,0.2888272
112,924420,0,0.299863
113,924421,0,0.16975223
114,924422,1,0.67367816
115,924423,1,0.8338817
116,924424,1,0.8564415
117,924425,1,0.58155614
118,"924426,20000,20000,20000, 36 months,6.99,617.46,A,""Partner, Associate Director"",2 years,RENT,120500,Source Verified,42644,credit_card,NY,11.51,0,31594,2,13,0,115488,85.6,25,0,21738.73;",0,0.018379249
119,924427,0,0.299863
120,924428,1,0.7475622
121,924429,1,0.6250989
122,924430,0,0.4577866
123,924431,1,0.7475622
124,924432,1,0.77934813
125,924433,0,0.21629931
126,924434,1,0.67367816
127,924435,1,0.6963295
128,924436,0,0.299863
129,924437,1,0.81315297
130,924438,0,0.299863
131,924439,0,0.21653096
132,924440,0,0.47678506
133,924441,0,0.30261496
134,924442,0,0.16955976
135,924443,0,0.299863
136,924444,1,0.58473426
137,924445,1,0.78186333
138,924446,1,0.78186333
139,924447,0,0.38595974
140,924448,1,0.9407203
141,924449,1,0.51320344
142,924450,1,0.5812685
143,924451,1,0.6213506
144,924452,0,0.2526125
145,924453,0,0.299863
146,924454,0,0.299863
147,924455,1,0.7121829
148,924456,1,0.7840849
149,924457,1,0.8564415
150,924458,0,0.2888272
151,924459,1,0.58155614
152,924460,1,0.91856474
153,924461,1,0.52320546
154,924462,0,0.299863
155,924463,1,0.8761331
156,924464,0,0.3274835
157,924465,0,0.37344545
158,924466,0,0.21875711
159,924467,1,0.89958185
160,924468,0,0.2888272
161,924469,1,0.8095093
162,924470,1,0.7597907
163,924471,0,0.19794507
164,924472,0,0.34404644
165,924473,0,0.38906276
166,924474,0,0.21629931
167,924475,0,0.34404644
168,924476,1,0.64696664
169,924477,1,0.54903865
170,924478,0,0.299863
171,924479,1,0.76702625
172,924480,1,0.97942895
173,924481,1,0.63699645
174,924482,0,0.38595974
175,924483,1,0.5685722
176,924484,1,0.85804147
177,924485,1,0.86015904
178,924486,0,0.2526125
179,924487,0,0.38595974
180,924488,1,0.57334834
181,924489,0,0.299863
182,924490,0,0.38595974
183,924491,1,0.64397484
184,924492,0,0.4581258
185,924493,1,0.52320546
186,924494,1,0.6317012
187,924495,0,0.4581258
188,924496,0,0.299863
189,924497,1,0.7703239
190,924498,1,0.50993675
